sample	surface	acc_x	acc_y	acc_z
1.0000	0.0000	0.1445	-0.0991	-0.0659
2.0000	0.0000	0.1071	-0.1037	0.0117
3.0000	0.0000	0.1066	-0.1067	0.0190
4.0000	0.0000	0.1078	-0.1269	0.0168
5.0000	0.0000	0.1293	-0.1255	0.0188
6.0000	0.0000	0.1020	-0.1276	0.0158
7.0000	0.0000	0.1259	-0.1079	0.0168
8.0000	0.0000	0.1276	-0.1250	0.0217
9.0000	0.0000	0.1261	-0.1027	0.0193
10.0000	0.0000	0.1078	-0.1276	0.0090
11.0000	0.0000	0.1039	-0.1264	0.0193
12.0000	0.0000	0.1056	-0.1267	0.0158
13.0000	0.0000	0.1064	-0.1067	0.0175
14.0000	0.0000	0.1252	-0.1074	0.0158
15.0000	0.0000	0.1078	-0.1118	0.0183
